(oui, si)
(non, no)
(la, la)
(le, el)
(les, los)
(et, y)
(mon, mi)
(est, es)
(maison, casa)
(chien, perro)
(chat, gato)
(femme, mujer)
(homme, hombre)
(enfant, niño)
(ami, amigo)
(amie, amiga)
(ville, ciudad)
(pays, pais)
(eau, agua)
(feu, fuego)
(terre, tierra)
(air, aire)
(jour, dia)
(nuit, noche)
(soleil, sol)
(lune, luna)
(etoile, estrella)
(etoiles, estrellas)
(ciel, cielo)
(mer, mar)
(riviere, rio)
(lac, lago)
(montagne, montaña)
(foret, bosque)
(arbre, arbol)
(fleur, flor)
(herbe, hierba)
(manger, comer)
(boire, beber)
(parler, hablar)
(courir, correr)
(lire, leer)
(ecrire, escribir)
(travailler, trabajar)
(etudier, estudiar)
(jouer, jugar)
(ouvrir, abrir)
(fermer, cerrar)
(regarder, mirar)
(ecouter, escuchar)
(aimer, amar)
(penser, pensar)
(croire, creer)
(grand, grande)
(petit, pequeño)
(rapide, rapido)
(lent, lento)
(chaud, caliente)
(froid, frio)
(heureux, feliz)
(triste, triste)
(nouveau, nuevo)
(vieux, viejo)
(beau, bonito)
(belle, bella)
(laid, feo)
(riche, rico)
(pauvre, pobre)
(beaucoup, mucho)
(peu, poco)
(toujours, siempre)
(jamais, nunca)
(souvent, a_menudo)
(parfois, a_veces)
(ici, aqui)
(la, la)
(maintenant, ahora)
(avant, antes)
(apres, despues)
(pourquoi, porque)
(comment, como)
(quand, cuando)
(qui, quien)
(quoi, que)
(ou, donde)
(un, uno)
(deux, dos)
(trois, tres)
(quatre, cuatro)
(cinq, cinco)
(six, seis)
(sept, siete)
(huit, ocho)
(neuf, nueve)
(dix, diez)
(onze, once)
(douze, doce)
(lundi, lunes)
(mardi, martes)
(mercredi, miercoles)
(jeudi, jueves)
(vendredi, viernes)
(samedi, sabado)
(dimanche, domingo)
(ecole, escuela)
(universite, universidad)
(professeur, profesor)
(etudiant, estudiante)
(classe, clase)
(livre, libro)
(table, mesa)
(chaise, silla)
(porte, puerta)
(fenetre, ventana)
(voiture, carro)
(route, carretera)
(travail, trabajo)
(temps, tiempo)
(annee, año)
(mois, mes)
(semaine, semana)
(famille, familia)
(frere, hermano)
(soeur, hermana)
(pere, padre)
(mere, madre)
(nourriture, comida)
(pain, pan)
(lait, leche)
(fromage, queso)
(viande, carne)
(fruit, fruta)
(legume, verdura)
(cafe, cafe)
(the, te)
(sucre, azucar)
(sel, sal)
(poivre, pimienta)
(jus, jugo)
(biere, cerveza)
(vin, vino)
(hotel, hotel)
(chambre, habitacion)
(lit, cama)
(cuisine, cocina)
(salle, sala)
(bureau, oficina)
(ordinateur, computadora)
(ecran, pantalla)
(clavier, teclado)
(souris, raton)
(internet, internet)
(message, mensaje)
(telephone, telefono)
(numero, numero)
(appel, llamada)
(photo, foto)
(video, video)
(musique, musica)
(chanson, cancion)
(film, pelicula)
(acteur, actor)
(actrice, actriz)
(amour, amor)
(coeur, corazon)
(baiser, beso)
(calme, calma)
(paix, paz)
(guerre, guerra)
(force, fuerza)
(puissance, poder)
(lumiere, luz)
(ombre, sombra)
(couleur, color)
(noir, negro)
(blanc, blanco)
(rouge, rojo)
(bleu, azul)
(vert, verde)
(jaune, amarillo)
(gris, gris)
(rose, rosado)
(marron, marron)
(droit, derecho)
(gauche, izquierda)
(haut, arriba)
(bas, abajo)
(devant, delante)
(derriere, detras)
(entre, entre)
(avec, con)
(sans, sin)
(pour, para)
(contre, contra)
(vers, hacia)
(debut, inicio)
(fin, final)
(milieu, medio)
(exemple, ejemplo)
(idee, idea)
(question, pregunta)
(reponse, respuesta)
(probleme, problema)
(solution, solucion)
(erreur, error)
(verite, verdad)
(mensonge, mentira)
(raison, razon)
(chance, suerte)
(danger, peligro)
(securite, seguridad)
(sante, salud)
(maladie, enfermedad)
(medecin, medico)
(hopital, hospital)
(pharmacie, farmacia)
(soin, cuidado)
(traitement, tratamiento)
(education, educacion)
(science, ciencia)
(art, arte)
(histoire, historia)
(geographie, geografia)
(langue, idioma)
(mot, palabra)
(phrase, frase)
(texte, texto)
(ligne, linea)
(page, pagina)
(auteur, autor)
(lecture, lectura)
(ecriture, escritura)
(voix, voz)
(bruit, ruido)
(silence, silencio)
(vitesse, velocidad)
(distance, distancia)
(longueur, longitud)
(largeur, ancho)
(hauteur, altura)
(volume, volumen)
(poids, peso)
(masse, masa)
(energie, energia)
(mouvement, movimiento)
(position, posicion)
(direction, direccion)
(angle, angulo)
(cercle, circulo)
(carre, cuadrado)
(triangle, triangulo)
(point, punto)
(surface, superficie)
(espace, espacio)
(univers, universo)
(planete, planeta)
(mars, marte)
(venus, venus)
(jupiter, jupiter)
(saturne, saturno)
(galaxie, galaxia)
(astronomie, astronomia)
(physique, fisica)
(chimie, quimica)
(biologie, biologia)
(cellule, celula)
(corps, cuerpo)
(main, mano)
(tete, cabeza)
(oeil, ojo)
(nez, nariz)
(bouche, boca)
(oreille, oreja)
(pied, pie)
(jambe, pierna)
(bras, brazo)
(sang, sangre)
(poisson, pescado)
(oeuf, huevo)
(riz, arroz)
(pate, pasta)
(soupe, sopa)
(salade, ensalada)
(dessert, postre)
(chocolat, chocolate)
(glace, helado)
(bonbon, dulce)
